WP-JAHRE,NUMIND,ID,ANFANG,VORNAME,NACHNAME,ALTER,GESCHLECHT,PARTEI_KURZ,BERUF,AUSLAND,MANDATSART,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
1949-1953;01,118,11000663,1949,Robert,Geritzmann,56,1,SPD,Oberbürgermeister,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,119,11000667,1949,Heinrich,Gerns,57,1,Union,Volks- und Landwirt,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,120,11000669,1949,Eugen,Gerstenmaier,43,1,Union,"Präsident des Deutschen Bundestages, Oberkonsistorialrat",0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,121,11000676,1949,Paul,Gibbert,51,1,Union,"Winzer, Landwirt, Ökonomierat",0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,122,11000678,1949,Christian,Giencke,53,1,Union,Gartenarchitekt,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,123,11000686,1949,Heinrich,Glasmeyer,56,1,Union,Bauer,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,124,11000688,1949,Alfred,Gleisner,41,1,SPD,Kaufmann,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,125,11000693,1949,Hermann,Glüsing,41,1,Union,Bauer,0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,126,11000696,1949,Josef,Gockeln,49,1,Union,Landespräsident,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,127,11000700,1949,Robert,Görlinger,61,1,SPD,Verlagsleiter,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,128,11000704,1949,Hermann,Götz,35,1,Union,Angestellter,0,0.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,129,11000706,1949,Günter,Goetzendorff,32,1,Andere,"Journalist, Redakteur",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,130,11000710,1949,Hubertus,Golitschek,39,1,FDP,Wirtschaftsberater,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,131,11000720,1949,Otto,Graf,57,1,SPD,"Lehrer, Journalist, Ministerialrat a. D.",0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,132,11000724,1949,Otto Heinrich,Greve,41,1,SPD,Rechtsanwalt und Notar,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,133,11000733,1949,Margarete,Gröwel,50,0,Union,"Lehrerin, Dozentin",0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,134,11000742,1949,Arthur,Grundmann,29,1,FDP,Bergmann,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,135,11000747,1949,Wilhelm,Gülich,54,1,SPD,"Professor, Bibliotheksdirektor",0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,136,11000748,1949,Bernhard,Günther,43,1,Union,"Elektromeister, Präsident der Handwerkskammer Köln",0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,137,11000752,1949,Gustav,Gundelach,61,1,Andere,"Dreher, Parteisekretär",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,138,11000783,1949,Johannes,Hagge,56,1,FDP,Kaufmann,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,139,11000790,1949,Wilhelm,Hamacher,66,1,Andere,Oberstudiendirektor,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,140,11000795,1949,Richard,Hammer,52,1,FDP,Arzt,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,141,11000801,1949,Johannes,Handschumacher,62,1,Union,"Richter, Rechtsanwalt",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
