WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE,ANFANG,ALTER
1949-1953,11000395,0,SPD,1899,Abteilungsleiterin,Deutschland,Döhring,Clara,"['1', '2', '3', '4']","['Direktwahl', 'Landesliste', 'Landesliste', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,50
1949-1953,11000404,1,CSU,1913,Bauingenieur,Deutschland,Donhauser,Anton,"['1', '2']","['Landesliste', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,36
1949-1953,11000408,1,SRP,1910,"Schriftsteller, Journalist",Deutschland,Dorls,Fritz,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,39
1949-1953,11000419,1,CDU,1894,Hauptgeschäftsführer i. R.,Deutschland,Dresbach,August,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,55
1949-1953,11000426,1,FDP,1892,Steuer- und Wirtschaftsberater,Deutschland,Eberhard,Anton,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,57
1949-1953,11000434,1,CDU,1907,"Landwirt, Betriebsleiter",Deutschland,Eckstein,Heinrich,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,42
1949-1953,11000435,1,Plos,1880,Oberschulrat i. R.,Deutschland,Edert,Eduard,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,69
1949-1953,11000438,1,CDU,1904,"Präsident DBT a.D., Dipl.-Ingenieurökonom, Dipl.-Staatswissenschaftler",Deutschland,Ehlers,Hermann,"['1', '2']","['Landesliste', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,45
1949-1953,11000444,1,CDU,1894,Schriftsteller,Deutschland,Ehren,Hermann,"['1', '2', '3', '4']","['Direktwahl', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,55
1949-1953,11000450,1,SPD,1896,Chefredakteur,Deutschland,Eichler,Willi,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,53
1949-1953,11000451,1,FU,1899,Landwirt,Deutschland,Eichner,Josef,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,50
